idmensaje,idusuarioremitente,idusuarioreceptor,fechamensaje,contenidomensaje
472,24,761,2022-01-22,Si no soportas la presión no juegas! Fastidias la experiencia de los demás
473,24,682,2022-01-23,¿Has visto la nueva arma?
474,24,781,2022-01-26,Como es posible que tengas tantas horas O:
475,24,597,2022-01-12,Algun dia me tienes que enseñar a jugar al Stardew Valley
476,24,436,2022-01-18,Si no soportas la presión no juegas! Fastidias la experiencia de los demás
477,24,132,2022-01-06,¿Qué piensas de las últimas actualizaciones?
478,24,963,2022-01-20,¿Qué piensas de los gráficos del juego?
479,24,72,2022-01-01,¿Qué te parece si creamos un torneo?
480,24,28,2022-01-18,Camper tunneler -rep
481,25,389,2022-01-22,¿Cuál es tu mapa favorito?
482,25,683,2022-01-23,¿Has visto el último tráiler?
483,25,931,2022-01-05,¿Cuál es tu mapa favorito?
484,25,27,2022-01-17,¿Qué te parece si creamos una estrategia?
485,25,209,2022-01-17,¿Te gustaría jugar en equipo?
486,25,756,2022-01-08,No me puedo creer que tengas tan pocas horas
487,25,661,2022-01-01,¡Esa fue una gran jugada!
488,25,31,2022-01-28,¿Cuál es tu estrategia favorita?
489,25,97,2022-01-14,¿Has visto el último tráiler?
490,25,741,2022-01-08,¿Te gustaría unirte a nuestro grupo de
491,25,775,2022-01-15,¡Esa fue una gran jugada!
492,25,442,2022-01-22,No te rindas tienes potencial
493,25,761,2022-01-25,¿Qué te parece si jugamos en equipo?
494,25,963,2022-01-09,Hola te acuerdas de mi? besis <oo>
495,25,339,2022-01-24,Muy cringe tu foto de perfil
496,25,676,2022-01-23,No me puedo creer que tengas tan pocas horas
497,25,801,2022-01-06,¿Cuál es tu estrategia favorita?
498,25,818,2022-01-28,¿Cómo te va en el juego?
499,25,539,2022-01-10,¿Cómo has estado?
500,25,981,2022-01-24,¿Te gustaría unirte a nuestro grupo de
501,26,34,2022-01-17,¿Qué te parece si creamos una estrategia?
502,26,734,2022-01-24,Muy cringe tu foto de perfil
503,26,660,2022-01-09,Hola te acuerdas de mi? besis <oo>
504,26,371,2022-01-12,Muy cringe tu foto de perfil
505,26,345,2022-01-08,¿Cuál es tu personaje más odiado?
506,26,697,2022-01-28,¿Cuál es tu estrategia favorita?
507,26,739,2022-01-29,¡No puedo esperar para jugar de nuevo!
508,26,61,2022-01-08,Algun dia me tienes que enseñar a jugar al Stardew Valley
509,26,127,2022-01-07,+rep divertido jugar con el :D
510,26,476,2022-01-23,¿Has visto la nueva arma?
511,26,626,2022-01-13,¿Qué piensas de las últimas actualizaciones?
512,26,553,2022-01-27,Gracias por el carreo
513,26,278,2022-01-11,Vete a recoger patatas
514,26,185,2022-01-23,GG
515,26,92,2022-01-28,¡Eso fue épico!
516,26,460,2022-01-14,¿Qué piensas de los gráficos del juego?
517,26,59,2022-01-20,¿Has visto la nueva arma?
518,26,600,2022-01-13,GG
519,26,869,2022-01-16,¿Qué te parece si nos agregamos como amigos?
520,26,250,2022-01-16,¿Cuál es tu mapa favorito?
521,27,221,2022-01-07,Que perfil mas chulo
522,27,717,2022-01-20,¿Quieres jugar de nuevo?
523,27,468,2022-01-25,Algun dia me tienes que enseñar a jugar al Stardew Valley
524,27,855,2022-01-16,¡No puedo esperar para jugar de nuevo!
525,27,352,2022-01-09,GG
526,27,836,2022-01-30,¿Has visto la nueva arma?
527,27,474,2022-01-13,¡No puedo creer que ganamos esa partida!
528,27,839,2022-01-22,¿Cómo te va en el juego?
529,27,680,2022-01-22,¿Has visto la nueva arma?
530,27,373,2022-01-16,¿Cuál es tu mapa favorito?
531,27,6,2022-01-04,¿Cómo te va en el juego?
532,27,704,2022-01-12,¿Cuál es tu estrategia favorita?
533,27,586,2022-01-27,¿Qué piensas de las últimas actualizaciones?
534,27,663,2022-01-06,¿Cuál es tu estrategia favorita?
535,27,317,2022-01-12,No te rindas tienes potencial
536,27,145,2022-01-01,¿Has visto la última actualización?
537,27,600,2022-01-06,¿Qué piensas de la música del juego?
538,27,56,2022-01-16,¡Eso fue épico!
539,27,632,2022-01-16,¿Qué te parece si jugamos en modo historia?
540,27,450,2022-01-27,No me puedo creer que tengas tan pocas horas
541,28,143,2022-01-03,¡Esa fue una gran jugada!
542,28,202,2022-01-09,¿Te gustaría jugar en equipo?
543,28,759,2022-01-12,¿Has visto el último tráiler?
544,28,242,2022-01-22,Que perfil mas chulo
545,28,872,2022-01-28,Agregame para jugar juntos :)
546,28,36,2022-01-14,Si eres una mujer negra fuerte y hermosa alguien pondrá esto en tus comentarios
547,28,82,2022-01-04,Muy cringe tu foto de perfil
548,28,936,2022-01-05,¡Eso estuvo muy cerca!
549,28,368,2022-01-18,Algun dia me tienes que enseñar a jugar al Stardew Valley
550,28,224,2022-01-16,¿Has visto la nueva arma?
551,28,114,2022-01-24,¿Has visto la nueva arma?
552,28,877,2022-01-27,Echemonos algunas partidas al CSGO
553,28,909,2022-01-04,¿Quieres jugar de nuevo?
554,28,970,2022-01-06,Agregame para jugar juntos :)
555,28,998,2022-01-27,¿Cuál es tu personaje más odiado?
556,28,327,2022-01-12,¿Cuál es tu personaje más odiado?
557,28,635,2022-01-08,¿Qué piensas de las últimas actualizaciones?
558,28,797,2022-01-29,No me carga tu descripcion :(
559,28,522,2022-01-13,No te rindas tienes potencial
560,28,491,2022-01-03,¿Qué te parece si creamos un torneo?
561,29,921,2022-01-23,¿Te gustaría unirte a nuestro clan?
562,29,483,2022-01-25,¿Te gustaría jugar en grupo?
563,29,592,2022-01-25,¿Cuál es tu estrategia favorita?
564,29,166,2022-01-02,¿Qué piensas de las últimas actualizaciones?
565,29,259,2022-01-14,¿Has probado el nuevo personaje?
566,29,63,2022-01-27,¿Cómo has estado?
567,29,993,2022-01-25,¡Eso estuvo muy cerca!
568,29,433,2022-01-08,GG
569,29,758,2022-01-16,¿Qué te parece si jugamos en modo historia?
570,29,313,2022-01-29,Echemonos algunas partidas al CSGO
571,29,309,2022-01-06,Hola, ¿cómo estás?
572,29,918,2022-01-14,No te rindas tienes potencial
573,29,345,2022-01-05,¿Qué piensas de las últimas actualizaciones?
574,29,338,2022-01-11,¿Cuál es tu personaje más odiado?
575,29,285,2022-01-22,+rep divertido jugar con el :D
576,29,927,2022-01-05,¿Qué piensas de las habilidades especiales?
577,29,300,2022-01-14,¡Esa fue una gran partida!
578,29,290,2022-01-20,¿Quieres jugar una partida?
579,29,205,2022-01-04,Agregame para jugar juntos :)
580,29,144,2022-01-15,¿Has visto la nueva arma?
581,30,687,2022-01-16,¿Cuál es tu personaje más odiado?
582,30,334,2022-01-05,¿Qué te parece si jugamos en modo historia?
583,30,966,2022-01-26,Gracias por el carreo
584,30,748,2022-01-02,Camper tunneler -rep
585,30,92,2022-01-20,¡No puedo esperar para jugar de nuevo!
586,30,312,2022-01-13,Gracias por el carreo
587,30,303,2022-01-22,¿Cuál es tu arma favorita?
588,30,733,2022-01-10,¿Qué te parece si creamos una estrategia?
589,30,281,2022-01-29,+rep divertido jugar con el :D
590,30,925,2022-01-11,Vete a recoger patatas
591,30,112,2022-01-17,Gracias por el carreo
592,30,2,2022-01-15,¿Qué piensas de las últimas actualizaciones?
593,30,857,2022-01-01,¡No puedo esperar para jugar de nuevo!
594,30,765,2022-01-08,¿Qué piensas de los gráficos del juego?
595,30,32,2022-01-21,Hola, ¿cómo estás?
596,30,125,2022-01-06,¡No puedo esperar para jugar de nuevo!
597,30,620,2022-01-24,¡No puedo esperar para jugar de nuevo!
598,30,268,2022-01-19,¡Esa fue una gran partida!
599,30,835,2022-01-17,¿Quieres jugar de nuevo?
600,30,621,2022-01-03,Que perfil mas chulo
601,31,530,2022-01-23,Como es posible que tengas tantas horas O:
602,31,881,2022-01-23,¡Vamos a hacer un equipo imbatible!
603,31,845,2022-01-06,¿Cuál es tu personaje favorito?
604,31,971,2022-01-24,¿Has probado el nuevo personaje?
605,31,57,2022-01-17,¿Qué te parece si creamos un torneo?
606,31,122,2022-01-16,Hola, ¿cómo estás?
607,31,805,2022-01-20,¡Esa fue una gran jugada!
608,31,777,2022-01-21,¿Cuál es tu mapa favorito?
609,31,239,2022-01-26,+rep divertido jugar con el :D
610,31,346,2022-01-05,+rep divertido jugar con el :D
611,31,765,2022-01-07,Muy cringe tu foto de perfil
612,31,441,2022-01-14,¿Quieres jugar de nuevo?
613,31,342,2022-01-05,Camper tunneler -rep
614,31,786,2022-01-19,Gracias por el carreo
615,31,618,2022-01-25,¿Qué piensas de los gráficos del juego?
616,31,757,2022-01-15,¡No puedo esperar para jugar de nuevo!
617,31,628,2022-01-03,Camper tunneler -rep
618,31,54,2022-01-20,¿Qué te parece si creamos un torneo?
619,31,239,2022-01-16,GG
620,31,774,2022-01-21,¿Te gustaría una revancha?
621,32,307,2022-01-05,¡No puedo creer que ganamos esa partida!
622,32,537,2022-01-18,¿Has visto la nueva arma?
623,32,650,2022-01-15,¿Te gustaría jugar en grupo?
624,32,152,2022-01-03,¿Cómo has estado?
625,32,600,2022-01-23,¿Has visto la última actualización?
626,32,463,2022-01-29,¿Qué piensas de las últimas actualizaciones?
627,32,551,2022-01-22,¿Quieres jugar de nuevo?
628,32,794,2022-01-04,Echemonos algunas partidas al CSGO
629,32,758,2022-01-01,Como es posible que tengas tantas horas O:
630,32,494,2022-01-02,¿Qué piensas de las últimas actualizaciones?
631,32,955,2022-01-22,¿Te gustaría una revancha?
632,32,977,2022-01-23,No jugueis con el le faltan manos
633,32,990,2022-01-06,Que perfil mas chulo
634,32,879,2022-01-23,¿Qué piensas de las habilidades especiales?
635,32,630,2022-01-16,¿Qué piensas de las últimas actualizaciones?
636,32,547,2022-01-05,¿Qué te parece si nos agregamos como amigos?
637,32,788,2022-01-02,+rep divertido jugar con el :D
638,32,10,2022-01-10,Muy cringe tu foto de perfil
639,32,294,2022-01-27,No jugueis con el le faltan manos
640,32,233,2022-01-19,¿Te gustaría unirte a nuestro clan?
641,33,211,2022-01-10,Agregame para jugar juntos :)
642,33,816,2022-01-22,Hola te acuerdas de mi? besis <oo>
643,33,199,2022-01-21,¿Qué piensas de los gráficos del juego?
644,33,623,2022-01-05,¿Cuál es tu personaje favorito?
645,33,969,2022-01-24,¿Cuál es tu personaje más odiado?
646,33,458,2022-01-19,¿Cuál es tu personaje favorito?
647,33,3,2022-01-27,¡Eso fue impresionante!
648,33,665,2022-01-22,¿Te gustaría una revancha?
649,33,13,2022-01-02,¡Vamos a hacer un equipo imbatible!
650,33,391,2022-01-01,¿Qué piensas de los gráficos del juego?
651,33,16,2022-01-26,Que perfil mas chulo
652,33,324,2022-01-02,¿Qué piensas de los gráficos del juego?
653,33,663,2022-01-25,¡No puedo esperar para jugar de nuevo!
654,33,249,2022-01-20,¿Qué te parece si jugamos en equipo?
655,33,203,2022-01-11,¡No puedo creer que ganamos esa partida!
656,33,659,2022-01-19,¿Quieres jugar una partida?
657,33,383,2022-01-18,¡Vamos a hacer un equipo imbatible!
658,33,687,2022-01-20,GG
659,33,96,2022-01-02,¿Te gustaría una revancha?
660,33,774,2022-01-18,¡Eso fue épico!
661,34,674,2022-01-02,¿Qué piensas de los gráficos del juego?
662,34,723,2022-01-21,¿Cuál es tu mapa favorito?
663,34,197,2022-01-18,¿Qué piensas de las últimas actualizaciones?
664,34,451,2022-01-10,¿Qué te parece si creamos un torneo?
665,34,370,2022-01-26,Agregame para jugar juntos :)
666,34,57,2022-01-07,¿Qué piensas de los gráficos del juego?
667,34,438,2022-01-29,¿Te gustaría unirte a nuestro grupo de
668,34,333,2022-01-17,¿Qué te parece si creamos un torneo?
669,34,26,2022-01-26,¿Has probado el nuevo personaje?
670,34,908,2022-01-05,¿Cuál es tu personaje favorito?
671,34,469,2022-01-02,¡Eso fue épico!
672,34,389,2022-01-17,¿Qué piensas de las últimas actualizaciones?
673,34,837,2022-01-16,¿Has probado el nuevo personaje?
674,34,363,2022-01-30,¿Te gustaría unirte a nuestro grupo de
675,34,287,2022-01-09,Si eres una mujer negra fuerte y hermosa alguien pondrá esto en tus comentarios
676,34,473,2022-01-15,¿Qué piensas de las últimas actualizaciones?
677,34,774,2022-01-01,¿Quieres jugar una partida?
678,34,183,2022-01-20,Gracias por el carreo
679,34,84,2022-01-12,¿Has visto la última actualización?
680,34,848,2022-01-14,¡Esa fue una gran jugada!
681,35,275,2022-01-26,¿Qué piensas de las últimas actualizaciones?
682,35,765,2022-01-24,Que perfil mas chulo
683,35,314,2022-01-14,¿Te gustaría unirte a nuestro clan?
684,35,282,2022-01-02,¡Esa fue una gran partida!
685,35,999,2022-01-10,¡Eso estuvo muy cerca!
686,35,684,2022-01-05,¡No puedo esperar para jugar de nuevo!
687,35,259,2022-01-18,No me carga tu descripcion :(
688,35,501,2022-01-02,No te rindas tienes potencial
689,35,264,2022-01-21,¿Te gustaría unirte a nuestro clan?
690,35,748,2022-01-27,¿Cuál es tu personaje favorito?
691,35,663,2022-01-29,No te rindas tienes potencial
692,35,221,2022-01-16,¿Quieres jugar de nuevo?
693,35,791,2022-01-11,Hola te acuerdas de mi? besis <oo>
694,35,333,2022-01-30,¡No puedo esperar para jugar de nuevo!
695,35,81,2022-01-20,¿Qué piensas de los gráficos del juego?
696,35,533,2022-01-01,Muy cringe tu foto de perfil
697,35,953,2022-01-20,¿Cuál es tu estrategia favorita?
698,35,784,2022-01-19,¡Vamos a hacer un equipo imbatible!
699,35,255,2022-01-12,¿Te gustaría una revancha?
700,35,462,2022-01-12,¡No puedo creer que ganamos esa partida!
701,36,482,2022-01-18,¿Cómo te va en el juego?
702,36,486,2022-01-23,¿Quieres jugar una partida?
703,36,770,2022-01-09,¿Cuántas horas has jugado?
704,36,578,2022-01-15,¿Qué piensas de las últimas actualizaciones?
705,36,950,2022-01-25,¿Qué te parece si creamos un torneo?
706,36,851,2022-01-20,Echemonos algunas partidas al CSGO
707,36,855,2022-01-14,¿Has probado el nuevo personaje?
708,36,527,2022-01-18,¡No puedo creer que ganamos esa partida!
709,36,455,2022-01-01,Si eres una mujer negra fuerte y hermosa alguien pondrá esto en tus comentarios
710,36,289,2022-01-08,¿Has visto el último tráiler?
711,36,785,2022-01-13,¿Quieres jugar una partida?
712,36,239,2022-01-02,¿Has visto la última actualización?
713,36,89,2022-01-29,No me puedo creer que tengas tan pocas horas
714,36,529,2022-01-10,¡Esa fue una gran jugada!
715,36,379,2022-01-14,¿Qué piensas de las últimas actualizaciones?
716,36,319,2022-01-10,¿Qué te parece si creamos una estrategia?
717,36,557,2022-01-08,Hola te acuerdas de mi? besis <oo>
718,36,537,2022-01-13,¿Qué te parece si creamos un torneo?
719,36,691,2022-01-15,No jugueis con el le faltan manos
720,36,191,2022-01-20,¡Esa fue una gran jugada!
721,37,813,2022-01-21,Agregame para jugar juntos :)
722,37,742,2022-01-18,¿Qué piensas de los gráficos del juego?
723,37,265,2022-01-28,¿Cuál es tu personaje más odiado?
724,37,564,2022-01-11,¿Qué piensas de las habilidades especiales?
725,37,653,2022-01-18,No jugueis con el le faltan manos
726,37,908,2022-01-07,Muy cringe tu foto de perfil
727,37,852,2022-01-13,Vete a recoger patatas
728,37,962,2022-01-16,¿Cuál es tu personaje favorito?
729,37,956,2022-01-26,¿Cómo te va en el juego?
730,37,738,2022-01-21,¿Qué te parece si creamos un torneo?
731,37,119,2022-01-05,¿Qué piensas de los gráficos del juego?
732,37,205,2022-01-19,¿Qué te parece si nos agregamos como amigos?
733,37,399,2022-01-12,Si eres una mujer negra fuerte y hermosa alguien pondrá esto en tus comentarios
734,37,508,2022-01-03,No te rindas tienes potencial
735,37,568,2022-01-04,No jugueis con el le faltan manos
736,37,560,2022-01-13,Como es posible que tengas tantas horas O:
737,37,109,2022-01-01,Muy cringe tu foto de perfil
738,37,852,2022-01-30,¿Qué te parece si jugamos en modo historia?
739,37,286,2022-01-27,Algun dia me tienes que enseñar a jugar al Stardew Valley
740,37,970,2022-01-17,Me intercambias cromos?
741,38,395,2022-01-23,Vete a recoger patatas
742,38,807,2022-01-18,¡No puedo esperar para jugar de nuevo!
743,38,164,2022-01-20,¿Qué piensas de los gráficos del juego?
744,38,703,2022-01-19,¡Eso fue impresionante!
745,38,314,2022-01-23,¿Te gustaría jugar en equipo?
746,38,252,2022-01-22,¿Cómo te va en el juego?
747,38,471,2022-01-30,¿Has visto el último tráiler?
748,38,211,2022-01-15,¿Te gustaría una revancha?
749,38,143,2022-01-02,Camper tunneler -rep
750,38,814,2022-01-03,¿Has visto el último tráiler?
751,38,202,2022-01-23,Muy cringe tu foto de perfil
752,38,210,2022-01-08,¿Te gustaría jugar en grupo?
753,38,474,2022-01-20,Agregame para jugar juntos :)
754,38,742,2022-01-15,Algun dia me tienes que enseñar a jugar al Stardew Valley
755,38,692,2022-01-25,¡Eso fue épico!
756,38,64,2022-01-21,¿Qué te parece si creamos una estrategia?
757,38,753,2022-01-21,¡No puedo esperar para jugar de nuevo!
758,38,43,2022-01-13,Si eres una mujer negra fuerte y hermosa alguien pondrá esto en tus comentarios
759,38,617,2022-01-26,¿Qué te parece si creamos una estrategia?
760,38,956,2022-01-24,GG
761,39,29,2022-01-04,¿Quieres jugar de nuevo?
762,39,929,2022-01-15,¡Vamos a hacer un equipo imbatible!
763,39,612,2022-01-14,¿Has visto la última actualización?
764,39,838,2022-01-07,Como es posible que tengas tantas horas O:
765,39,467,2022-01-07,¡Eso fue impresionante!
766,39,762,2022-01-20,Camper tunneler -rep
767,39,691,2022-01-08,¡No puedo esperar para jugar de nuevo!
768,39,343,2022-01-17,¿Has visto la nueva arma?
769,39,34,2022-01-10,Hola, ¿cómo estás?
770,39,887,2022-01-08,Me intercambias cromos?
771,39,574,2022-01-09,No me carga tu descripcion :(
772,39,887,2022-01-25,¿Te gustaría jugar en equipo?
773,39,296,2022-01-26,¿Has probado el nuevo personaje?
774,39,740,2022-01-04,¡No puedo esperar para jugar de nuevo!
775,39,735,2022-01-28,¿Te gustaría jugar en equipo?
776,39,412,2022-01-05,¿Cuál es tu personaje más odiado?
777,39,894,2022-01-05,¿Te gustaría una revancha?
778,39,413,2022-01-16,Vete a recoger patatas
779,39,301,2022-01-08,Gracias por el carreo
780,39,535,2022-01-01,¿Te gustaría unirte a nuestro clan?
781,40,963,2022-01-24,¿Cuál es tu estrategia favorita?
782,40,985,2022-01-29,Camper tunneler -rep
783,40,205,2022-01-02,¡Esa fue una gran partida!
784,40,565,2022-01-03,¿Te gustaría unirte a nuestro grupo de
785,40,785,2022-01-03,¡Eso fue épico!
786,40,339,2022-01-03,¿Qué te parece si creamos una estrategia?
787,40,507,2022-01-08,¿Has probado el nuevo personaje?
788,40,923,2022-01-08,¡Vamos a hacer un equipo imbatible!
789,40,399,2022-01-28,¿Qué te parece si creamos un torneo?
790,40,856,2022-01-23,¿Cuál es tu estrategia favorita?
791,40,306,2022-01-09,¿Quieres jugar una partida?
792,40,946,2022-01-10,Muy cringe tu foto de perfil
793,40,810,2022-01-11,¿Cuál es tu arma favorita?
794,40,920,2022-01-22,¿Qué te parece si creamos un torneo?
795,40,111,2022-01-25,¡Eso fue impresionante!
796,40,742,2022-01-10,¿Te gustaría unirte a nuestro grupo de
797,40,778,2022-01-16,¿Qué piensas de las últimas actualizaciones?
798,40,187,2022-01-18,¿Qué te parece si jugamos en modo historia?
799,40,850,2022-01-15,¿Cuál es tu personaje más odiado?
800,40,691,2022-01-16,¿Te gustaría una revancha?
801,41,397,2022-01-29,¿Qué te parece si nos agregamos como amigos?
802,41,401,2022-01-18,¿Qué piensas de la música del juego?
803,41,889,2022-01-29,No me puedo creer que tengas tan pocas horas
